name,kills,date
jgwen19,70,2025-02-09
Dawnftb,34,2025-02-09
Hparso1524,36,2025-02-09
MarionnJames2307,61,2025-02-09
chickenkampong,47,2025-02-09
spikey_001,51,2025-02-09
kurtdylan1111,15,2025-02-09
nickthegodrider1289,37,2025-02-09
jamesplayztv1,50,2025-02-09
FrailBailen,25,2025-02-09
pancake_w1,32,2025-02-09
DcypL_Sky,81,2025-02-09
burnfield1k22,53,2025-02-09
GGXDArusha,39,2025-02-09
jellyy112345,49,2025-02-09
buddyboil1,63,2025-02-09
tsogoo125,66,2025-02-09
SeaV1per1224,58,2025-02-09
anathaliakdc,42,2025-02-09
pensmen,49,2025-02-09
gyftfdko,53,2025-02-09
Indonesia_ofMalaysia,47,2025-02-09
chanmeme1,51,2025-02-09
cn191981,47,2025-02-09
Oscarchoyzy24,83,2025-02-09
Luqman_indo,7,2025-02-09
Liklyboos221,31,2025-02-09
midnight_karsonwolf,5,2025-02-09
ideacentre,38,2025-02-09
