bigshockwave99 67 kills. 
Oscarchoyzy24 has 13 kills. 
jgwen19 has 65 kills. 
polkomgyy44 has 47 kills. 
ToothlessXD123 has 72 kills. 
Gariksz has 77 kills. 
anathaliakdc has 43 kills. 
kylemanike has 55 kills. 
jesterproandnoob has 59 kills. 
commander_cookie1234 has 59 kills. 
Lone_Warrior17 has 49 kills. 
kite_167 has 37 kills. 
raka6792 has 41 kills. 
burnfield1k22 has 59 kills. 
glas12391 has 20 kills. 
jellyy112345 has 43 kills. 
CJjames1004 has 26 kills. 
pensmen has 35 kills. 
WeissRitter22 has 73 kills. 
camper8903 has 12 kills. 
CommanderHikari has 47 kills. 
Sunfull1 has 20 kills. 
Xernicus has 33 kills. 
alex_tn239 has 30 kills. 
jiajun129 has 40 kills. 
nickthegodrider1289 has 54 kills. 
PlaneVonSurrey has 58 kills. 
Cogus_0828 has 45 kills.



UnknownWarrior144 has 31 kills. 
J3rry864 has 46 kills. 
anathaliakdc has 53 kills. 
Dawnftb has 61 kills. 
Cogus_0828 has 60 kills. 
Lone_Warrior17 has 72 kills. 
Zzongon3 has 45 kills. 
kylemanike has 16 kills. 
David_Theusless has 25 kills. 
firbbide910 has 47 kills. 
kite_167 has 42 kills. 
CJjames1004 has 45 kills. 
jamesplayztv1 has 58 kills. 
raka6792 has 59 kills. 
polkomgyy44 has 58 kills. 
commander_cookie1234 has 45 kills. 
Sunfull1 has 30 kills. 
jgwen19 has 67 kills. 
Idea has 66 kills. 
pancake_w1 has 3 kills. 
Haloinqsss has 42 kills. 
supermanakmeeee_twin has 40 kills. 
scarkrieg has 29 kills. 
jesterproandnoob has 72 kills. 
Oscarchoyzy24 has 79 kills.



Oscarchoyzy24 has 26 kills.
Cogus_0828 has 38 kills. 
Sunfull1 has 19 kills.
jgwen19 has 65 kills. 
raka6792 has 53 kills. 
ckpoa20 has 37 kills. 
J3rry864 has 25 kills. 
kite_167 has 44 kills. 
Lone_Warrior17 has 24 kills. 
Xernicus has 53 kills. 
manio1201 has 46 kills. 
David_Theusless has 31 kills.  
mikeysamsam has 20 kills. 
HarArkhichen has 68 kills. 
Gariksz has 74 kills. 
commander_cookie1234 has 25 kills. 
Feodor2285 has 22 kills. 
CommanderHikari has 35 kills. 
Dawnftb has 56 kills. 
ConesOdebrecht has 62 kills. 
Kuba_Luksan has 11 kills. 
aryafariziii160 has 53 kills. 
jesterproandnoob has 74 kills. 
Luqman_indo has 40 kills. 
GGXDArusha has 36 kills. 
burnfield1k22 has 71 kills. 
pancake_w1 has 37 kills.
anathaliakdc has 29 kills.  
Zzongon3 has 41 kills. 
Kazuyuki_Owen has 677 kills. 
CeorVinci has 55 



Oscarchoyzy24 has 82 kills. 
jellyy112345 has 50 kills. 
Lone_Warrior17 has 44 kills. 
ConesOdebrecht has 71 kills. 
Luqman_indo has 24 kills. 
NothenInvicta has 53 kills. 
Cogus_0828 has 65 kills. 
Kazuyuki_Owen has 56 kills. 
HarArkhichen has 68 kills. 
kite_167 has 41 kills. 
nickthegodrider1289 has 51 kills. 
SeaV1per1224 has 69 kills. 
shield_4545 has 43 kills. 
ckpoa20 has 44 kills. 
spikey_001 has 60 kills. 
diwdwoa has 48 kills. 
chickenkampong has 69 kills. 
bigshockwave99 has 58 kills. 
GGXDArusha has 55 kills. 
Dawnftb has 35 kills. 
commander_cookie1234 has 51 kills. 
DRDanger46 has 67 kills. 
pancake_w1 has 38 kills. 
kylemanike has 69 kills. 
swearimnoob has 75 kills. 
ToothlessXD123 has 75 kills. 
polkomgyy44 has 53 kills. 
DiamondMarkDragon has 46 kills. 
jgwen19 has 83 kills. 
Sunfull1 has 0 kills.


starwarsfan1025 has 29 kills. 
Luqman_indo has 26 kills. 
nickthegodrider1289 has 42 kills. 
anathaliakdc has 23 kills. 
shield_4545 has 28 kills. 
HarArkhichen has 56 kills. 
Lone_Warrior17 has 31 kills. 
J3rry864 has 29 kills. 
DefinedNeo has 24 kills. 
ConesOdebrecht has 71 kills. 
polkomgyy44 has 43 kills. 
supvigi has 30 kills. 
Datoper_diodes has 31 kills. 
Oscarchoyzy24 has 16 kills. 
pancake_w1 has 22 kills. 
spikey_001 has 55 kills. 
kaljr356 has 46 kills. 
pensmen has 52 kills. 
Hparso1524 has 56 kills. 
jesterproandnoob has 74 kills. 
HoundVonSurrey has 52 kills. 
jayneeddollar has 61 kills. 
chickenkampong has 46 kills. 
SeaV1per1224 has 61 kills. 
jgwen19 has 62 kills. 
kurtdylan1111 has 23 kills. 
raka6792 has 43 kills. 
GGXDArusha has 36 kills. 
ToothlessXD123 has 68 kills. 
ckpoa20 has 39 kills. 
dhpg_30 has 0 kills.


diwdwoa has 21 kills. 
1usyhd_good4 has 35 kills. 
rttt_1234567 has 11 kills. 
Sunfull1 has 30 kills. 
samnam2099 has 19 kills. 
TYSDFGJFFD has 18 kills. 
CommanderHikari has 37 kills. 
Kazuyuki_Owen has 40 kills. 
lnconvenience1 has 18 kills. 
Zzongon3 has 35 kills. 
powerfuljun0923 has 21 kills. 
qpwu1_jwug has 24 kills. 
policesoyul has 18 kills. 
amazingdkfewi1024 has 42 kills. 
r4_bt has 36 kills. 
Xernicus has 16 kills. 
syfmdfnj5003 has 12 kills.
