name,avg,atd
Oscarchoyzy24,40.3,3
Kazuyuki_Owen,51.0,2
Indonesia_ofMalaysia,51.0,2
jgwen19,51.0,2
Croezg,42.7,3
chanmeme1,52.5,2
jesterproandnoob,50.0,1
mrflipsflapz,57.0,2
SeaV1per1224,59.0,1
Luqman_indo,42.7,3
Dawnftb,35.7,3
AERBUTE1,47.0,1
camper8903,63.3,3
ConesOdebrecht,85.0,2
CommanderHikari,38.3,3
aryafariziii160,43.3,3
hotdoges142,25.0,1
ckpoa20,43.0,2
Liklyboos221,64.5,2
Shadow_bringer200,27.0,1
kite_167,35.5,2
IceBlox_Officical,17.0,1
spikey_001,52.0,3
Zweihvnders,88.0,2
pancake_w1,40.5,2
Gariksz,65.0,1
Cx_vt,38.3,3
nickthegodrider1289,53.0,3
raka6792,35.0,2
Jok_jok1234,51.0,1
commander_cookie1234,42.0,2
Lord_Emerald1,22.5,2
jamesplayztv1,2.0,1
Cogus_0828,37.0,1
GGXDArusha,40.0,1
anathaliakdc,41.5,2
star_dustriver,59.0,1
Haloinqsss,24.0,1
UnknownWarrior144,12.0,1
jiajun129,38.0,1
ER_CHANGED,36.0,1
Sunfull1,31.0,1
Nero_Kauko,27.5,2
Ferrum26_8,11.0,1
O56IsHere,1.0,1
kurtdylan1111,42.0,1
gtmsgamerG,78.0,1
jellyy112345,58.0,1
polkomgyy44,71.0,1
MarioUlici200702,45.0,1
Chanseoni,55.0,1
wninju,49.0,1
PeterPlayZYoutube,20.0,1
GRADE4092,54.0,1
