color_code,name,avg,atd
:blue_circle:,Oscarchoyzy24,62.0,5
:blue_circle:,Kazuyuki_Owen,60.2,4
:green_circle:,Indonesia_ofMalaysia,50.3,3
:green_circle:,jgwen19,53.8,4
:yellow_circle:,Croezg,42.5,4
:blue_circle:,chanmeme1,56.0,3
:blue_circle:,jesterproandnoob,56.5,2
:green_circle:,mrflipsflapz,53.2,4
:blue_circle:,SeaV1per1224,72.3,3
:yellow_circle:,Luqman_indo,37.8,5
:orange_circle:,Dawnftb,34.2,5
:green_circle:,AERBUTE1,47.0,1
:blue_circle:,camper8903,61.0,4
:blue_circle:,ConesOdebrecht,90.7,3
:yellow_circle:,CommanderHikari,37.8,4
:yellow_circle:,aryafariziii160,43.8,5
:orange_circle:,hotdoges142,25.0,1
:yellow_circle:,ckpoa20,42.8,4
:blue_circle:,Liklyboos221,65.8,4
:orange_circle:,Shadow_bringer200,27.0,1
:yellow_circle:,kite_167,39.7,3
:red_circle:,IceBlox_Officical,17.0,1
:green_circle:,spikey_001,50.2,4
:blue_circle:,Zweihvnders,90.7,3
:yellow_circle:,pancake_w1,38.5,4
:blue_circle:,Gariksz,65.0,1
:yellow_circle:,Cx_vt,41.8,5
:blue_circle:,nickthegodrider1289,56.8,5
:orange_circle:,raka6792,31.7,3
:green_circle:,Jok_jok1234,51.0,1
:yellow_circle:,commander_cookie1234,39.3,3
:orange_circle:,Lord_Emerald1,22.5,2
:orange_circle:,jamesplayztv1,29.0,2
:yellow_circle:,Cogus_0828,37.0,1
:yellow_circle:,GGXDArusha,44.0,2
:yellow_circle:,anathaliakdc,39.3,3
:blue_circle:,star_dustriver,59.0,1
:yellow_circle:,Haloinqsss,40.5,2
:red_circle:,UnknownWarrior144,12.0,1
:yellow_circle:,jiajun129,38.0,1
:yellow_circle:,ER_CHANGED,36.0,1
:orange_circle:,Sunfull1,31.0,1
:orange_circle:,Nero_Kauko,27.5,2
:red_circle:,Ferrum26_8,11.0,1
:red_circle:,O56IsHere,1.0,1
:yellow_circle:,kurtdylan1111,42.0,1
:blue_circle:,gtmsgamerG,59.0,2
:green_circle:,jellyy112345,46.0,3
:blue_circle:,polkomgyy44,67.3,3
:yellow_circle:,MarioUlici200702,36.5,2
:green_circle:,Chanseoni,55.0,1
:green_circle:,wninju,50.0,2
:red_circle:,PeterPlayZYoutube,20.0,1
:green_circle:,GRADE4092,54.0,1
:yellow_circle:,chickenkampong,42.0,2
:red_circle:,Chloemay2930,18.0,1
:blue_circle:,SomeRandomBucketName,77.0,1
:blue_circle:,BigBoiTrades96,81.0,1
:orange_circle:,poopoo19396,30.0,1
:blue_circle:,NothenInvicta,73.0,1
:red_circle:,shield_4545,19.0,1
:blue_circle:,DRDanger46,59.0,1
:blue_circle:,aphexic,85.0,1
:green_circle:,Skyler_Sentinal,53.0,1
:blue_circle:,Scornful_X,58.0,1
:blue_circle:,HoundVonSurrey,68.0,1
:orange_circle:,David_Theusless,22.0,1
:blue_circle:,SANS00_SIXX,57.0,1
