color_code,name,avg,atd
🔵,kylemanike,69.0,1
🔵,Kazuyuki_Owen,67.0,1
🔵,mrflipsflapz,61.0,1
🔵,pensmen,61.0,1
🔵,aryafariziii160,60.0,1
🔵,jesterproandnoob,60.0,1
🔵,polkomgyy44,58.0,1
🟢,Cogus_0828,51.0,1
🟢,WazibaXD,50.0,1
🟢,jamesplayztv1,48.0,1
🟢,encik_Faris,47.0,1
🟢,Sunfull1,47.0,1
🟢,PekaRockRuff,45.0,1
🟡,rttt_1234567,44.0,1
🟡,anathaliakdc,43.0,1
🟡,Dawnftb,37.0,1
🟡,shield_4545,36.0,1
🟠,David_Theusless,33.0,1
🟠,hotdoges142,31.0,1
🟠,Oscarchoyzy24,24.0,1
🟠,Xernicus,23.0,1
🔴,Kunfah2012,18.0,1
The meaning of the colors are:
 :red_circle: = 0-20
 :orange_circle: = 20-34
 :yellow_circle: = 35-44
 :green_circle: = 45-55
 :blue_circle: = 56-100
