name,kills
anathaliakdc,31
pancake_w1,31
KisarakiTH,25
GGXDArusha,33
ckpoa20,42
Morristte,26
jiajun129,23
GRADE4092,17
pensmen,62
burnfield1k22,53
FrailBailen,28
SeaV1per1224,51
spikey_001,47
chickenkampong,32
Zweihvnders,64
MarionnJames2307,15
Dawnftb,27
aphexic,76
polkomgyy44,58
gyftfdko,48
Bababooooooeydude,32
Zombisho,7
encik_Faris,37
kylemanike,44

Dawnftb,27
chickenkampong,32
jiajun129,23
GGXDArusha,33
pensmen,62
spikey_001,47
pancake_w1,31
Zweihvnders,64
KisarakiTH,25
aphexic,76
MarionnJames2307,15
GRADE4092,17
anathaliakdc,31
ckpoa20,42
Morristte,26
SeaV1per1224,51
FrailBailen,28
burnfield1k22,53
polkomgyy44,58
gyftfdko,48
Bababooooooeydude,32
Zombisho,7
encik_Faris,37
kylemanike,44

TheHeirToZimbabwe,103
mahanprogamer3,24
J4oxXD,13
Luqman_indo,16
Mitzuki525,4
aarondanish2015,4
Jok_jok1234,12
spartansudais14,24
KJ,2
Vreckthiq,97
Dawnftb,27

jamesplayztv1,40
chickenkampong,43
Mitsubira_Aratoshi,58
bubmlpants,28
spikey_001,10
Morristte,37
jiajun129,42
burnfield1k22,71
anathaliakdc,27
polkomgyy44,55
Luqman_indo,24
ckpoa20,34
theDogeboiiz,43
Indonesia_ofMalaysia,48
pancake_w1,37
Zedifix,24
FrailBailen,20
SireHalo,18
gerardanthony22,25
Dawnftb,45
Ikaraduck,44
nickthegodrider1289,13
gyftfdko,42
Oscarchoyzy24,84
FreSlothK,35
GGXDArusha,34
rukaminop,24
Jok_jok1234,37
mralex111012,51
jgwen19,54

Dawnftb,28
Chiofries,41
GGXDArusha,43
theDogeboiiz,40
pancake_w1,34
Indonesia_ofMalaysia,55
roger2126,29
FrailBailen,7
kylemanike,63
ckpoa20,41
jgwen19,54
Gariksz,71
Mitsubira_Aratoshi,71
gyftfdko,50
nickthegodrider1289,17
Morristte,31
encik_Faris,25
ChickenDonkeyDog,81

GOODMIEL11,60
buddyboil1,46
Oscarchoyzy24,89
jgwen19,42
Akari_4757,27
1ma_m,79
Jok_jok1234,42
ConesOdebrecht,85
ckpoa20,30
diwdwoa,66
GGXDArusha,39
jellyy112345,39
