name,kills
polkomgyy44,57
commander_cookie1234,10
aphexic,71
Croezg,23
Mitsubira_Aratoshi,63
spikey_001,46
burnfield1k22,61
kite_167,17
Oscarchoyzy24,88
Zweihvnders,73
Kazuyuki_Owen,44
SeaV1per1224,56
eiltene123,41
mrflipsflapz,49
diwdwoa,49
Liklyboos221,63
jamesplayztv1,52
SomeRandomBucketName,60
gtmsgamerG,24
HarArkhichen,63
buddyboil1,72
chickenkampong,30
Dawnftb,26
darkenians,52
pancake_w1,26
nickthegodrider1289,54
jesterproandnoob,53
Haloinqsss,48
WazibaXD,53
HoundVonSurrey,58



Dawnftb,51
Oscarchoyzy24,72
spikey_001,46
jamesplayztv1,0
Mitsubira_Aratoshi,67
anathaliakdc,45
jgwen19,56
FrailBailen,52
mrflipsflapz,52
HarArkhichen,30
SeaV1per1224,52
O56IsHere,29
jiajun129,47
zoommine0423,22
polkomgyy44,44
kite_167,22
nickthegodrider1289,42
commander_cookie1234,29
HAPPY27259,73
AERBUTE1,41
Gariksz,53
chanmeme1,53

spikey_001,53
jamesplayztv1,46
Kazuyuki_Owen,61
SireHalo,23
polkomgyy44,48
raka6792,20
mrflipsflapz,49
anathaliakdc,27
jgwen19,54
pancake_w1,40
dsastetmfvm,71
Mitsubira_Aratoshi,80
eiltene123,49
jiajun129,44
Oscarchoyzy24,81
NovaGlyp,52
Liklyboos221,57
jesterproandnoob,39
HAPPY27259,65
Gariksz,53
Xernicus,38
Not_short5151,5
nickthegodrider1289,44
commander_cookie1234,41
kite_167,25
Dawnftb,34
chanmeme1,43

SeaV1per1224,67
GeorgeDroidMaxngFent,82
AERBUTE1,72
Mitsubira_Aratoshi,77
gtmsgamerG,28
jiajun129,51
Croezg,37
kite_167,35
FrailBailen,56
polkomgyy44,50
nickthegodrider1289,44
Gariksz,70
Nero_Kauko,12
wninju,30
anathaliakdc,30
Dawnftb,24
jamesplayztv1,54
commander_cookie1234,43
jesterproandnoob,48
Indonesia_ofMalaysia,47
kurtdylan1111,37
Oscarchoyzy24,89
Liklyboos221,71
chanmeme1,47
TomMiaorblx,16
CharIotteReis,89


pancake_w1,44
SomeRandomBucketName,82
jesterproandnoob,57
jamesplayztv1,56
raka6792,34
Liklyboos221,69
Kazuyuki_Owen,59
nickthegodrider1289,49
hanker583,1
jiajun129,26
TomMiaorblx,39
gtmsgamerG,43
buddyboil1,79
jellyy112345,46
commander_cookie1234,42
Luqman_indo,34
kite_167,40
Oscarchoyzy24,72
anathaliakdc,30
spartansudais14,25
XxGusiolxX,49
aryafariziii160,35
eiltene123,54
ckpoa20,38
chanmeme1,53

lightie5252,25
HarArkhichen,73
diwdwoa,13
100gnoo,23
amazingdkfewi1024,35
Xernicus,9
Kangcheon24,23
Fight_Strategy,18
JEJU_0P3RAT0R,41
KOREASKRR0,19
Sunfull1,22
FrailBailen,37
PixelMangos,17
Ryiodelia,25
1owo164,32
muzman33,27
uzuhama9731,21
mekeyroberto,31
korea_67453,28
