color_code,name,avg,atd
🔵,Kazuyuki_Owen,257.7,3
🔵,ToothlessXD123,71.7,3
🔵,jesterproandnoob,69.8,4
🔵,jgwen19,68.4,5
🔵,ConesOdebrecht,68.0,3
🔵,HarArkhichen,64.0,3
🟢,Cogus_0828,52.0,4
🟢,Dawnftb,50.7,3
🟢,polkomgyy44,50.2,4
🟢,nickthegodrider1289,49.0,3
🟢,raka6792,49.0,4
🟢,kylemanike,46.7,3
🟢,commander_cookie1234,45.0,4
🟡,Lone_Warrior17,44.0,5
🟡,Oscarchoyzy24,43.2,5
🟡,GGXDArusha,42.3,3
🟡,kite_167,41.0,4
🟡,Zzongon3,40.3,3
🟡,ckpoa20,40.0,3
🟡,CommanderHikari,39.7,3
🟡,anathaliakdc,37.0,4
🟠,Xernicus,34.0,3
🟠,J3rry864,33.3,3
🟠,Luqman_indo,30.0,3
🟠,pancake_w1,25.0,4
🔴,Sunfull1,19.8,5
