color_code,name,avg,atd
🔵,ConesOdebrecht,74.5,16
🔵,Mitsubira_Aratoshi,70.1,23
🔵,SeaV1per1224,65.7,21
🔵,Oscarchoyzy24,65.4,38
🔵,Gariksz,64.4,16
🔵,burnfield1k22,64.0,16
🔵,Liklyboos221,60.1,13
🔵,pensmen,56.8,23
🔵,polkomgyy44,56.5,34
🔵,diwdwoa,55.5,11
🔵,tsogoo125,55.5,13
🔵,Kazuyuki_Owen,55.3,30
🔵,jgwen19,55.1,30
🟢,HarArkhichen,53.2,11
🟢,mrflipsflapz,52.7,27
🟢,camper8903,52.6,13
🟢,jesterproandnoob,52.4,20
🟢,chanmeme1,48.4,19
🟢,Indonesia_ofMalaysia,48.0,21
🟢,aryafariziii160,47.6,14
🟢,Xernicus,46.7,13
🟢,spikey_001,45.3,36
🟡,kylemanike,44.8,14
🟡,nickthegodrider1289,44.8,42
🟡,jamesplayztv1,44.7,32
🟡,gyftfdko,44.4,10
🟡,theDogeboiiz,44.2,10
🟡,CommanderHikari,42.0,15
🟡,chickenkampong,41.9,28
🟡,jellyy112345,41.2,17
🟡,FrailBailen,40.0,22
🟡,GGXDArusha,39.7,25
🟡,Croezg,38.3,14
🟡,jiajun129,37.2,20
🟡,commander_cookie1234,37.0,24
🟡,ckpoa20,36.9,19
🟡,kite_167,36.3,24
🟠,pancake_w1,33.7,31
🟠,Dawnftb,33.1,52
🟠,raka6792,31.8,13
🟠,anathaliakdc,31.7,37
🟠,SireHalo,31.7,10
🟠,Luqman_indo,30.1,27
