color_code,name,avg,atd
🔵,OblivionSectis,105.8,4
🔵,5xmars,80.2,8
🔵,Zweihvnders,80.1,7
🔵,aphexic,77.0,4
🔵,ConesOdebrecht,74.5,16
🔵,Mitsubira_Aratoshi,70.1,23
🔵,HAPPY27259,67.7,3
🔵,SeaV1per1224,65.7,21
🔵,buddyboil1,65.5,8
🔵,Oscarchoyzy24,65.4,38
🔵,MrDerps124,64.4,5
🔵,Gariksz,64.4,16
🔵,burnfield1k22,64.0,16
🔵,SomeRandomBucketName,61.6,5
🔵,bigshockwave99,60.4,5
🔵,Liklyboos221,60.1,13
🔵,Kangcheon24,59.0,3
🔵,Sumardisam,57.2,6
🔵,pensmen,56.8,23
🔵,jayneeddollar,56.5,4
🔵,polkomgyy44,56.5,34
🔵,HoundVonSurrey,56.2,4
🔵,tsogoo125,55.5,13
🔵,diwdwoa,55.5,11
🔵,L1MEO1,55.4,5
🔵,Kazuyuki_Owen,55.3,30
🔵,jgwen19,55.1,30
🟢,HarArkhichen,53.2,11
🟢,WazibaXD,53.0,3
🟢,mrflipsflapz,52.7,27
🟢,camper8903,52.6,13
🟢,jesterproandnoob,52.4,20
🟢,star_dustriver,52.3,3
🟢,MarioUlici200702,51.8,5
🟢,AERBUTE1,51.2,4
🟢,Scornful_X,50.0,6
🟢,JEJU_0P3RAT0R,49.7,3
🟢,chanmeme1,48.4,19
🟢,ViktorInvicta,48.3,7
🟢,Indonesia_ofMalaysia,48.0,21
🟢,wninju,48.0,5
🟢,aryafariziii160,47.6,14
🟢,DRDanger46,47.0,4
🟢,Xernicus,46.7,13
🟢,KusakabeMisaoMyWaifu,46.2,4
🟢,eiltene123,45.9,7
🟢,spikey_001,45.3,36
🟡,nickthegodrider1289,44.8,42
🟡,kylemanike,44.8,14
🟡,jamesplayztv1,44.7,32
🟡,gyftfdko,44.4,10
🟡,Haloinqsss,44.3,6
🟡,theDogeboiiz,44.2,10
🟡,Cx_vt,42.2,6
🟡,rg66666666,42.0,4
🟡,rttt_1234567,42.0,7
🟡,CommanderHikari,42.0,15
🟡,Sunfull1,42.0,6
🟡,chickenkampong,41.9,28
🟡,jellyy112345,41.2,17
🟡,Cogus_0828,40.8,9
🟡,FrailBailen,40.0,22
🟡,tris_thestudent,40.0,3
🟡,GGXDArusha,39.7,25
🟡,zoommine0423,39.3,3
🟡,MarionnJames2307,39.2,6
🟡,supermanakmeeee_twin,38.7,3
🟡,Croezg,38.3,14
🟡,Jok_jok1234,38.0,6
🟡,jiajun129,37.2,20
🟡,encik_Faris,37.1,7
🟡,commander_cookie1234,37.0,24
🟡,ckpoa20,36.9,19
🟡,gtmsgamerG,36.8,8
🟡,kite_167,36.3,24
🟡,KisarakiTH,36.2,6
🟠,pancake_w1,33.7,31
🟠,takutoa02,33.4,5
🟠,Dawnftb,33.1,52
🟠,raka6792,31.8,13
🟠,anathaliakdc,31.7,37
🟠,SireHalo,31.7,10
🟠,David_Theusless,30.9,9
🟠,fliqpy82929,30.5,4
🟠,PixelMangos,30.2,4
🟠,Luqman_indo,30.1,27
🟠,Morristte,30.0,4
🟠,kurtdylan1111,30.0,5
🟠,TomMiaorblx,29.3,3
🟠,cn191981,28.7,3
🟠,gerardanthony22,28.2,6
🟠,Akari_4757,28.0,4
🟠,GRADE4092,27.0,5
🟠,Madgaming2010,26.4,5
🟠,UnknownWarrior144,26.2,4
🟠,shield_4545,25.5,6
🟠,aarondanish2015,25.2,4
🟠,Nero_Kauko,22.3,3
🟠,Mitzuki525,21.5,4
🟠,Lord_Emerald1,20.7,3
🔴,pioluisconrado,17.3,3
🔴,officerngelo,14.8,8
🔴,kf21rotc2,12.3,3
🔴,kea44448,11.0,3
🔴,imnotharingyou,9.8,4
