name,kills,date

Dawnftb,28,2025-02-14
Proxy_x5,34,2025-02-14
Kazuyuki_Owen,49,2025-02-14
anathaliakdc,26,2025-02-14
FrailBailen,57,2025-02-14
ckpoa20,27,2025-02-14
CommanderHikari,41,2025-02-14
pensmen,56,2025-02-14
MrDerps124,68,2025-02-14
Gariksz,63,2025-02-14
GGXDArusha,39,2025-02-14
HoundVonSurrey,54,2025-02-14
5xmars,67,2025-02-14
MarioUlici200702,66,2025-02-14
Indonesia_ofMalaysia,52,2025-02-14
kf21rotc2,17,2025-02-14
Xernicus,45,2025-02-14
Mitsubira_Aratoshi,78,2025-02-14
eiltene123,33,2025-02-14
kylemanike,32,2025-02-14
commander_cookie1234,34,2025-02-14
jellyy112345,48,2025-02-14
jgwen19,47,2025-02-14
nickthegodrider1289,44,2025-02-14
kite_167,42,2025-02-14
jesterproandnoob,26,2025-02-14
CIAUSA2,22,2025-02-14
plm922sown,40,2025-02-14
ConesOdebrecht,67,2025-02-14
chanmeme1,52,2025-02-14
chickenkampong,38,2025-02-14
KusakabeMisaoMyWaifu,28,2025-02-14
polkomgyy44,50,2025-02-14
Croezg,37,2025-02-14
HarArkhichen,60,2025-02-14
MarionnJames2307,43,2025-02-14
Madgaming2010,0,2025-02-14
jiajun129,30,2025-02-14
Oscarchoyzy24,22,2025-02-14
Luqman_indo,6,2025-02-14
spikey_001,3,2025-02-14
Dawnftb,28,2025-02-14
MrDerps124,68,2025-02-14
anathaliakdc,26,2025-02-14
GGXDArusha,39,2025-02-14
FrailBailen,57,2025-02-14
ckpoa20,27,2025-02-14
CommanderHikari,41,2025-02-14
cn191981,0,2025-02-14





commander_cookie1234,33,2025-02-13
Croezg,35,2025-02-13
jgwen19,72,2025-02-13
polkomgyy44,58,2025-02-13
anathaliakdc,25,2025-02-13
jiajun129,30,2025-02-13
AERBUTE1,45,2025-02-13
Oscarchoyzy24,82,2025-02-13
kylemanike,12,2025-02-13
HarArkhichen,61,2025-02-13
Xernicus,47,2025-02-13
mrflipsflapz,50,2025-02-13
Proxy_x5,53,2025-02-13
chickenkampong,52,2025-02-13
potatoringsninja4,60,2025-02-13
jamesplayztv1,55,2025-02-13
jayneeddollar,59,2025-02-13
Dawnftb,36,2025-02-13
kf21rotc2,12,2025-02-13
SireHalo,44,2025-02-13
Sumardisam,61,2025-02-13
Kangcheon24,71,2025-02-13
kite_167,46,2025-02-13
nickthegodrider1289,46,2025-02-13
bigshockwave99,57,2025-02-13
Indonesia_ofMalaysia,47,2025-02-13



GGXDArusha,50,2025-02-12
Kangcheon24,54,2025-02-12
Indonesia_ofMalaysia,43,2025-02-12
jgwen19,56,2025-02-12
mrflipsflapz,49,2025-02-12
jamesplayztv1,1,2025-02-12
OblivionSectis,97,2025-02-12
Kazuyuki_Owen,49,2025-02-12
chanmeme1,35,2025-02-12
kite_167,46,2025-02-12
ConesOdebrecht,75,2025-02-12
masterjanjan19,35,2025-02-12
pancake_w1,34,2025-02-12
jayneeddollar,55,2025-02-12
pensmen,52,2025-02-12
SeaV1per1224,62,2025-02-12
FrailBailen,26,2025-02-12
KusakabeMisaoMyWaifu,48,2025-02-12
Xernicus,52,2025-02-12
anathaliakdc,32,2025-02-12
jiajun129,34,2025-02-12
Luqman_indo,30,2025-02-12
Gariksz,59,2025-02-12
Oscarchoyzy24,61,2025-02-12
commander_cookie1234,38,2025-02-12
cn191981,45,2025-02-12
nickthegodrider1289,45,2025-02-12
intxerunit,41,2025-02-12
kylemanike,45,2025-02-12
ideacentre,52,2025-02-12
spikey_001,49,2025-02-12
Sunfull1,26,2025-02-12
SupremeDom5162,20,2025-02-12
CIAUSA2,21,2025-02-12
dyj2233,9,2025-02-12


Dawnftb,44,2025-02-11
gst44444,15,2025-02-11
zZRabbitsZz,30,2025-02-11
mrflipsflapz,59,2025-02-11
Kazuyuki_Owen,72,2025-02-11
jgwen19,76,2025-02-11
SeaV1per1224,66,2025-02-11
chanmeme1,61,2025-02-11
commander_cookie1234,42,2025-02-11
kite_167,16,2025-02-11
spikey_001,49,2025-02-11
Xernicus,58,2025-02-11
kf21rotc2,8,2025-02-11
Oscarchoyzy24,18,2025-02-11
pensmen,32,2025-02-11
jayneeddollar,63,2025-02-11
anathaliakdc,43,2025-02-11
pancake_w1,32,2025-02-11
Alekspheus,39,2025-02-11
GGXDArusha,47,2025-02-11
Kangcheon24,76,2025-02-11
FrailBailen,70,2025-02-11
jamesplayztv1,57,2025-02-11
KisarakiTH,46,2025-02-11
kylemanike,67,2025-02-11
nickthegodrider1289,60,2025-02-11
